file,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_00169.wav,3.902115,3.3819456,4.40213,4.0743794,3.9767208,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_04482.wav,2.860849,3.0219235,3.1846504,3.6305256,4.0226736,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_02431.wav,2.9670618,3.1525054,3.7543323,3.357828,3.2580636,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_02952.wav,3.0361688,2.474097,4.020028,3.85341,3.2383883,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_00029.wav,3.7965267,2.441198,4.454846,4.3130145,4.1400094,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_03260.wav,2.5220108,2.6083388,3.481337,3.085563,3.4103825,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_03650.wav,2.046498,2.9749546,2.6616116,3.636874,4.000414,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_02836.wav,4.378111,2.4937267,4.4228015,4.3471346,4.180144,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_03639.wav,3.7204611,3.054797,4.3792157,4.103479,3.8315098,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_00835.wav,3.2476804,3.213866,4.18876,4.034024,3.895666,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_01529.wav,3.4090016,2.6420949,4.2335825,4.151869,3.6669095,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_01812.wav,3.2579262,2.8290746,3.9404266,3.606809,3.4306183,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_01301.wav,4.442604,3.2150419,4.56169,4.369964,4.3253894,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_02798.wav,3.111427,2.5696285,4.0396347,3.937463,3.282833,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_02757.wav,3.7241535,2.673753,4.388364,4.1843743,4.0997186,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_04335.wav,3.7089524,3.1521122,4.171879,3.9251332,3.471131,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs_enhanced/13GKsS26F4U_01555.wav,2.820637,2.8043354,4.140939,3.755936,3.3105247,NISQAv2
