file,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_02431.wav,2.7085946,2.599795,3.7518883,3.49678,3.4657001,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_02952.wav,2.8341534,2.1003656,4.017296,3.9115145,3.573535,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_00029.wav,3.069111,2.1481462,4.501848,4.2267833,4.0487456,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_03260.wav,2.3539264,2.5382085,3.6931791,3.2102978,3.2656016,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_03650.wav,1.989264,2.3039458,3.338577,3.1544964,4.1315336,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_02836.wav,4.1407986,2.3116033,4.386239,4.1955314,4.221795,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_03639.wav,3.4184082,2.629451,4.6015587,4.2850385,3.9453042,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_00835.wav,2.8248413,2.4983351,4.105152,4.0313663,4.0510325,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_01529.wav,2.7328293,2.2131736,4.041278,4.0858393,3.9374685,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_01812.wav,3.079964,2.200915,4.2543087,3.891731,3.6639688,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_01301.wav,4.467023,2.1701093,4.7207627,4.3284526,4.311917,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_02798.wav,2.5979536,2.2290816,3.8689096,3.5069273,3.270212,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_02757.wav,3.5182748,2.3381958,4.1537294,4.1007934,3.855563,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_04335.wav,3.3798485,2.4295592,4.0321493,3.9164455,3.8697374,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_01555.wav,3.206032,2.1993046,4.221489,3.8204472,3.458026,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_04550.wav,3.2984507,2.1872685,4.4712644,4.2059627,4.0526,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_03466.wav,3.7028885,2.4246128,4.456069,4.133019,4.215538,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_04452.wav,3.308983,2.5031478,4.558754,4.2357364,3.8054051,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_00202.wav,2.6149716,2.2019274,4.2497,3.421537,3.8072038,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_01760.wav,3.1439097,2.4185107,4.038387,4.1396027,3.9465642,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_03994.wav,2.7760484,2.8582916,3.6524208,3.956629,3.8547447,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_01543.wav,2.7373846,2.606616,3.830103,3.7959812,3.7476544,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_01449.wav,2.9389997,2.6225846,3.8739421,3.6560338,3.7771523,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_03514.wav,2.7373707,2.4045587,3.8527033,3.644203,3.3385103,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_04841.wav,3.4019134,1.9570023,4.2531757,3.8320026,3.5279577,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_00445.wav,2.3301053,2.348191,2.788306,3.6098444,3.5111837,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_02381.wav,3.236294,2.8007317,4.468123,4.0946646,4.0406475,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_03510.wav,2.5728903,1.9336547,4.0289917,3.8538985,3.8432043,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_00204.wav,3.5228946,2.501724,4.39741,4.009155,4.1968746,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_00146.wav,4.1271677,2.9694436,4.408407,4.103394,4.21523,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_02550.wav,3.2162566,2.2210572,4.3774405,4.180618,3.4833808,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_00823.wav,2.881368,2.796078,3.9745235,3.7504883,3.6064138,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_01367.wav,2.9979112,3.090307,4.04628,3.6895835,3.9439209,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_01658.wav,2.8937635,2.0021803,4.0943503,3.8995826,3.3365335,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_01989.wav,2.2567163,2.1050541,3.0564435,3.073973,3.273183,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_00105.wav,2.5813327,2.6641002,3.7119253,3.8386607,3.4832363,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_01720.wav,3.1812193,2.5357122,3.7825892,3.8308632,3.0450149,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_03899.wav,3.4114754,2.359508,4.3426094,4.142201,3.8426435,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_00914.wav,3.5649407,2.9630525,4.246623,4.01739,3.9401288,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_01054.wav,2.4679754,2.2628362,3.683077,3.8123832,3.6803968,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_00082.wav,3.6470068,3.0717769,4.446533,3.9894662,4.101795,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_00027.wav,3.1703982,2.412615,3.5987494,4.293522,3.9700456,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_03211.wav,2.624227,2.78528,4.169842,4.0125513,3.7392118,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_00392.wav,3.0783827,2.452939,4.501702,4.204513,3.9921248,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_02916.wav,3.2575057,2.7184443,4.3078814,4.063648,3.8034513,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_03010.wav,3.2042625,2.7199924,3.9313247,3.9771671,3.4751296,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_03393.wav,3.9995587,1.9982519,4.6335545,4.29193,4.278643,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_00252.wav,3.2032716,2.2227798,4.544435,4.1631436,3.5199106,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_04646.wav,2.4247491,1.9864821,2.8744771,3.2194488,3.1451325,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_03060.wav,2.7746656,1.968698,4.146188,3.7526665,2.9437337,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_01906.wav,3.358509,2.6560361,4.096063,3.9661415,3.7710464,NISQAv2
/data/nhandt23/Dataset/MMSData/13GKsS26F4U/asr_subtitle/wavs/13GKsS26F4U_04136.wav,2.2864559,2.6145127,3.8995779,3.768294,3.791325,NISQAv2
